2020-09-22 13:44:02 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.016 seconds.
2020-09-22 13:44:02 WARN  CSR_AnalysisResults:280 - Retrieved 'Document number' consists of 0 instead of expected 20 digits!
2020-09-22 13:44:02 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.018 seconds.
2020-09-22 13:44:02 INFO  CSR_AnalysisResults:278 - DOCUMENT NUMBER was successfully retrieved from the LOG table. It is equal to '00000000000000000550' 
2020-09-22 13:44:02 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.016 seconds.
2020-09-22 13:44:02 INFO  CSR_AnalysisResults:278 - DOCUMENT NUMBER was successfully retrieved from the LOG table. It is equal to '00000000000000000551' 
2020-09-22 13:44:02 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.022 seconds.
2020-09-22 13:44:02 INFO  CSR_AnalysisResults:278 - DOCUMENT NUMBER was successfully retrieved from the LOG table. It is equal to '00000000000000000552' 
2020-09-22 13:44:02 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.021 seconds.
2020-09-22 13:44:02 INFO  CSR_AnalysisResults:278 - DOCUMENT NUMBER was successfully retrieved from the LOG table. It is equal to '00000000000000000553' 
2020-09-22 13:44:02 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.021 seconds.
2020-09-22 13:44:02 INFO  CSR_AnalysisResults:278 - DOCUMENT NUMBER was successfully retrieved from the LOG table. It is equal to '00000000000000000550' 
2020-09-22 13:44:03 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.016 seconds.
2020-09-22 13:44:03 WARN  CSR_AnalysisResults:280 - Retrieved 'Document number' consists of 28 instead of expected 20 digits!
2020-09-22 13:44:03 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.019 seconds.
2020-09-22 13:44:03 INFO  CSR_AnalysisResults:278 - DOCUMENT NUMBER was successfully retrieved from the LOG table. It is equal to '00000000000000000550' 
2020-09-22 13:44:03 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.017 seconds.
2020-09-22 13:44:03 INFO  CSR_AnalysisResults:278 - DOCUMENT NUMBER was successfully retrieved from the LOG table. It is equal to '00000000000000000551' 
2020-09-22 13:44:03 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.017 seconds.
2020-09-22 13:44:03 INFO  CSR_AnalysisResults:278 - DOCUMENT NUMBER was successfully retrieved from the LOG table. It is equal to '00000000000000000552' 
2020-09-22 13:44:03 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.017 seconds.
2020-09-22 13:44:03 INFO  CSR_AnalysisResults:278 - DOCUMENT NUMBER was successfully retrieved from the LOG table. It is equal to '00000000000000000553' 
2020-09-22 13:44:03 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.039 seconds.
2020-09-22 13:44:03 INFO  CSR_AnalysisResults:278 - DOCUMENT NUMBER was successfully retrieved from the LOG table. It is equal to '00000000000000000551' 
2020-09-22 13:44:03 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.025 seconds.
2020-09-22 13:44:03 WARN  CSR_AnalysisResults:280 - Retrieved 'Document number' consists of 2 instead of expected 20 digits!
2020-09-22 13:44:03 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.022 seconds.
2020-09-22 13:44:03 WARN  CSR_AnalysisResults:280 - Retrieved 'Document number' consists of 2 instead of expected 20 digits!
2020-09-22 13:44:03 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.026 seconds.
2020-09-22 13:44:03 WARN  CSR_AnalysisResults:280 - Retrieved 'Document number' consists of 0 instead of expected 20 digits!
2020-09-22 13:44:03 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.026 seconds.
2020-09-22 13:44:03 WARN  CSR_AnalysisResults:280 - Retrieved 'Document number' consists of 2 instead of expected 20 digits!
2020-09-22 13:44:05 INFO  CSR_AnalysisResults:86 - RETRIEVED UNIQUE 'DOCUMENT NUMBERS before processing': 00000000000000000550
2020-09-22 13:44:05 INFO  CSR_AnalysisResults:86 - RETRIEVED UNIQUE 'DOCUMENT NUMBERS before processing': 00000000000000000551
2020-09-22 13:44:05 INFO  CSR_AnalysisResults:86 - RETRIEVED UNIQUE 'DOCUMENT NUMBERS before processing': 00000000000000000552
2020-09-22 13:44:05 INFO  CSR_AnalysisResults:86 - RETRIEVED UNIQUE 'DOCUMENT NUMBERS before processing': 00000000000000000553
2020-09-22 13:44:06 INFO  Test_Cases:325 - The number of DELIVERY IDs is THE SAME as the number of DOCUMENT NUMBERS: 4 vs. 4, AS EXPECTED.
2020-09-22 13:44:06 INFO  CSR_AnalysisResults:367 - The START PROCESSING button on the RESULTS OF CSR ANALYSIS popup was clicked SUCCESSFULLY.
2020-09-22 13:44:07 INFO  Waitings:40 - TOTAL TIME that the POSTPROCESSING popup web-element was loading: 0.036 seconds.
2020-09-22 13:44:08 INFO  PostProcessing:798 - PERSONALIZE button was SUCCESSFULLY clicked on the POSTPROCESSING popup.
2020-09-22 13:44:08 INFO  Waitings:434 - TOTAL TIME that the PERSONALIZATION POPUP page was loading: 0.01 seconds.
2020-09-22 13:44:12 INFO  PostProcessing:756 - The 'Set to Default' button (on 'PERSONALIZATION' popup for POSTPROCESSING) was detected to be DISABLED by Default.
2020-09-22 13:44:13 INFO  PostProcessing:667 - The 'SAVE' button (on 'PERSONALIZATION' popup for POSTPROCESSING) was clicked to save Default Settings.
2020-09-22 13:44:15 INFO  Waitings:86 - TOTAL TIME that the POSTPROCESSING popup after closing PERSONALIZATION popup page was loading: 2.152 seconds.
2020-09-22 13:44:17 INFO  PostProcessing:335 - Number of columns in the POSTPROCESSING SELECTION table: 4
